id,Number of reported deaths from cholera,Cholera case fatality rate,WHO Region
1022,1,1.06,Eastern Mediterranean
1023,0,0,Eastern Mediterranean
1024,,,Eastern Mediterranean
1025,,,Eastern Mediterranean
1026,3,0.87,Eastern Mediterranean
1027,21,1.53,Eastern Mediterranean
1028,1,0.37,Eastern Mediterranean
1029,9,0.81,Eastern Mediterranean
1030,59,2.71,Eastern Mediterranean
1031,0,0,Eastern Mediterranean
1032,5,0.37,Eastern Mediterranean
1033,4,4.12,Eastern Mediterranean
1034,32,1.69,Eastern Mediterranean
1035,3,1.69,Eastern Mediterranean
1036,85,1.63,Eastern Mediterranean
1037,15,3.09,Eastern Mediterranean
1038,4,1.36,Eastern Mediterranean
1039,1,5,Eastern Mediterranean
1040,9,0.75,Eastern Mediterranean
1041,5,0.94,Eastern Mediterranean
1042,0,0,Eastern Mediterranean
1043,0,0,Eastern Mediterranean
1044,108,1.79,Eastern Mediterranean
1045,32,2,Eastern Mediterranean
1046,56,3.02,Eastern Mediterranean
1047,,,Eastern Mediterranean
1048,,,Eastern Mediterranean
1049,,,Eastern Mediterranean
1050,,,Eastern Mediterranean
1051,,,Eastern Mediterranean
1052,,,Eastern Mediterranean
1053,,,Eastern Mediterranean
1054,,,Eastern Mediterranean
1055,,,Eastern Mediterranean
1056,,,Eastern Mediterranean
1057,,,Eastern Mediterranean
1058,,,Eastern Mediterranean
1059,,,Eastern Mediterranean
1060,0 0,0.0 0.0,Eastern Mediterranean
1061,2,0.04,Eastern Mediterranean
1062,0,0,Eastern Mediterranean
1063,4,0,Eastern Mediterranean
1064,0,0,Eastern Mediterranean
1065,0,0,Eastern Mediterranean
1066,11,1.19,Eastern Mediterranean
1067,24,0.51,Eastern Mediterranean
1068,0,0,Eastern Mediterranean
1069,0,0,Eastern Mediterranean
1070,,,Eastern Mediterranean
1071,,,Eastern Mediterranean
1072,4,0.75,Eastern Mediterranean
1073,30,1.51,Eastern Mediterranean
1074,1,1.89,Eastern Mediterranean
1075,0,0,Eastern Mediterranean
1076,3,0.37,Eastern Mediterranean
1077,0,0,Eastern Mediterranean
1078,0,0,Eastern Mediterranean
1079,0,0,Eastern Mediterranean
1080,6,0.68,Eastern Mediterranean
1081,0,0,Eastern Mediterranean
1082,1,0.75,Eastern Mediterranean
1083,20,8.81,Eastern Mediterranean
1084,,,Europe
1085,0,0,Europe
